error,in_original,in_import
different GUID,2Ut36uLtj0Jh3lOXK1Cyx8,2yS0DBRB13CgXtUmE96Uji
different name,K80/80/4,IfcColumn - K80/80/4
Different number of IfcCovering in storey 00 begane grond,252,0
different GUID,2IW6IWMcn9p9GSb$1bcM9y,1FW1gjfd1ChgVpQBnCanTs
different name,stelkozijn,IfcDoor - stelkozijn
different GUID,1xjGgwmzP23uthLfXurB67,1w8ifYV9D1jv4a5IygdaYx
different name,merk A,IfcDoor - merk A
different GUID,39Lqndo0HD0PPTIv$0QRef,1lQqGZPRr8Px5tc7vR57vQ
different name,stelkozijn,IfcDoor - stelkozijn
different GUID,1aJ$Qkat1AFgC0aRnCKwoP,2Ln5W_yp51X8dMugvJyja5
different name,stelkozijn,IfcDoor - stelkozijn
different GUID,2Vb0PGtxLAoxa0tjC07GCC,3XDy8LFzr3ExRTUko3LnAA
different name,stelkozijn,IfcDoor - stelkozijn
different GUID,31JhVzvWf3EhVtVaBbU7f1,0WG7orEND3GB638slU$Zzu
different name,stelkozijn,IfcDoor - stelkozijn
different GUID,3KMMm8oqPDGRsQcfPPC6kS,0xeB6cuhTAl8b_MpU2ToYi
different name,stelkozijn,IfcDoor - stelkozijn
different GUID,2DaLEnOpD71xPKiE7SoDTP,3frPLkVnXBrAFMord8gfd$
different name,merk F-R,IfcDoor - merk F-R
different GUID,3J3WcMT$r8Zhg8fsSyC9$A,3h5rkspI544vMavdw1bSJw
different name,stelkozijn,IfcDoor - stelkozijn
different GUID,0$bCLIu6XFZvKNAS5U2$M5,36Lk3VgR12FfYtMCv_sJGv
different name,stelkozijn,IfcDoor - stelkozijn
different GUID,2ANGxgZInBiOwD5Faih5nH,2mU20xAbzBmOWLspwn340g
different name,stelkozijn,IfcDoor - stelkozijn
different GUID,2qunupXbPCmxdwcf_gKob5,35Lkg4QXnB5gRX$Jg27ZWG
different name,stelkozijn,IfcDoor - stelkozijn
different GUID,1ktZHnXqP81AONft3VUKlo,2MfZejJVXFZv486x17vNRQ
different name,merk F-R,IfcDoor - merk F-R
different GUID,3ztvEc4nv0AQG9DRef3G4g,0wo_lqegH0lAITf5z$1g6a
different name,stelkozijn,IfcDoor - stelkozijn
different GUID,1s39gsbh161QnI10muM$N9,0vboa$F9X7DwrKeFMaDeTS
different name,stelkozijn,IfcDoor - stelkozijn
different GUID,2lIYJtavL8Qgz5F0uXNHL_,2g8qdIRyL6mRVexhH2SNCj
