error,in_original,in_import
different GUID,1$7$AzEPH8hxqREDEXC9Ab,0GsiAiULPD9OSn$99DMEuz
different name,stelkozijn,IfcDoor - stelkozijn
different GUID,2b6PFyVHj5AwfHVP2cSS7T,2s3SYJakTFZOvdZouODslW
different name,stelkozijn,IfcDoor - stelkozijn
different GUID,0NZRpUHUn8f9KjPRtTRauP,2WKJHNtkHEXBV1EJqviiiV
different name,D5R,IfcDoor - D5R
different GUID,3b$SMEeUf10eNHEHoPH0ta,0rSAd8ZfrF2wOODaQF6mzX
different name,D1R,IfcDoor - D1R
different GUID,2$GgreKs5Auv1nDBFIDDQQ,1VFX3NfxXATxHx_sNPIlCO
different name,D2R,IfcDoor - D2R
different GUID,0NWv8IgP5Ch9a8sHZoyivA,16hToi$Mv1SRwlRH6Tj8dB
different name,D1R,IfcDoor - D1R
different GUID,27$YR6LvnA1f4dzXk05qPo,0AI2D9UGX5_QDcXSDbvrH9
different name,traphek,IfcRailing - traphek
different GUID,018TK7$EL5zAD5j0tKRbOl,3fgktyO$58hgbxC1Pn9Cts
different name,traphek,IfcRailing - traphek
different GUID,0R3bLdPy59eezMGemvtvI1,30vOQH$NHD28BnhomaXleM
different name,traphek,IfcRailing - traphek
different GUID,0f24Ke$693gf5gvla2DUIp,2R3BRkyuv15gTuxqu7syNX
different name,traphek,IfcRailing - traphek
different GUID,3n$0aQqvnCVgLMGYDxwc9U,2LW6Ab$jH98gk$FXeF3oa1
different name,vloer_V0,IfcSlab - vloer_V0
different GUID,152mZBEq1ABBFkricfATYn,0BwbasQHP1Aw397qGfKn02
different name,vloer_V0,IfcSlab - vloer_V0
different GUID,1BHDU1gL97UfslrSbfRmfy,3EJaDDPKv4hgF8CxYNgh0d
different name,vloer_V0,IfcSlab - vloer_V0
different GUID,0GZ1cjigvCbhA8smeI2EOl,1l6IhzUHj8QPZhAZGFO4BK
different name,vloer_V0,IfcSlab - vloer_V0
different GUID,3KFzTADcbBYg2niuF4VUeU,21wSfDzUXAGwZp_M5MElw8
different name,vloer_V0,IfcSlab - vloer_V0
different GUID,1JLZkkp4vD_Ph$NdsQnOJw,1OBdg2iMDFHuZvs8ie$4L4
different name,vloer_V0,IfcSlab - vloer_V0
different GUID,3c6u9NZVTBmu7ySb3d4Kyx,1RCU6dbbDB2hLIM21eYSii
different name,vloer_V0,IfcSlab - vloer_V0
different GUID,2xho8b5LT0bvdcb_$4vT1A,2V5P3QoarFDQ5QvGnW13C9
different name,vloer_V0,IfcSlab - vloer_V0
different GUID,1ezF2lk9bATPGbDzbqi3lV,0JAYRWBBj7bheMN2fCA4dk
different name,vloer_V0,IfcSlab - vloer_V0
different GUID,0Du7sXlKf9Q9osiRbTp0DB,2JXjAt2QfBIuemXDxECMz_
different name,vloer_V0,IfcSlab - vloer_V0
different GUID,2q30Qb1_LBxgFSuRvgl_Fw,2NkozpKbD3UAbUA$iUGucX
different name,vloer_V0,IfcSlab - vloer_V0
different GUID,34UVZsoiL7SxjW6pAa_Hb9,1TDYwl$gnBzAaQCO0WxFRc
different name,vloer_V0,IfcSlab - vloer_V0
different GUID,0Xrfa1Yov20v9aSa2Qy1KU,3i74oGmbLABhZJQ3eeC3B7
different name,vloer_V0,IfcSlab - vloer_V0
different GUID,2S1cg7ETr61vJ48aHPK75L,2KkfPyOmfByOsEUjlrdcXq
different name,vloer_V0,IfcSlab - vloer_V0
different GUID,3er4Hi5O59lhIte0bi4WUx,1HaNQdFSb8lvClYD6Dwu8w
different name,vloer_V0,IfcSlab - vloer_V0
different GUID,2en633GqrDIwmtA9fYzxWS,1bkp7FTuj6CuO3I8vEQBpb
different name,vloer_V0,IfcSlab - vloer_V0
different GUID,1ubXcoJq9Fj9FIjV4W5qwB,34fGLxLXj8dB$TJkKP05gi
different name,vloer_V0,IfcSlab - vloer_V0
different GUID,2kLPA4gDD7KxNUCt_3L$np,1khZOp5gb2l85gjs0oLNmR
different name,vloer_V0,IfcSlab - vloer_V0
different GUID,2aob8QCl16Q8N5ZYzE4b9k,0sc0aRh0PCufizR$2Jw7at
different name,vloer_V0,IfcSlab - vloer_V0
different GUID,2DoYNgCXz1jwarhecdsY1w,2NH20ABAT6_P8S7JskMsn_
different name,vloer_V0,IfcSlab - vloer_V0
different GUID,2ZJwwyMMvB5OA8maPq1bML,360dfipub13hDYNYieFsw4
different name,vloer_V0,IfcSlab - vloer_V0
different GUID,1ZG4DbpJf0lf8Ak2_bQJHW,1tCvdY5dX4KQd01P3KK$P2
different name,vloer_V0,IfcSlab - vloer_V0
different GUID,1YpnSB4hH71g3zKepeErHS,3JeL_NoXjBcBNjvfXBj_zs
different name,vloer_V0,IfcSlab - vloer_V0
different GUID,1s_IKjunz8NgE4RwXYmqYm,210G27IyT42e3TwtqNizkk
different name,vloer_V0,IfcSlab - vloer_V0
different GUID,1stCMPwc91r80V5f3OShVm,1l3IinHPT4Qf0VwNuGVBqD
different name,vloer_V0,IfcSlab - vloer_V0
different GUID,097m$Ifmb1VeHfyhSCj60L,2s0lNb$4X98AY30dDkBZNC
different name,vloer_V0,IfcSlab - vloer_V0
different GUID,2xLeotJhnB4e2jMPGUDqwD,3bwIQYCkT6Qg3M00Y1JebZ
different name,vloer_V0,IfcSlab - vloer_V0
different GUID,03t_5XD1v8geHDbzKHx$PA,2_s62ViJjAyA3FF7MvILbp
different name,vloer_V0,IfcSlab - vloer_V0
different GUID,1d0MiLLsLCdBSuTHp6ynR7,3z3YcrtMfDkOEwbYrC5H$k
different name,vloer_V0,IfcSlab - vloer_V0
different GUID,0mRsPczVDDeB_LBFOgCxdq,3xxfm_ol9EgRPexm3fOuPQ
different name,vloer_V0,IfcSlab - vloer_V0
different GUID,1pSInisE96t8p52fxSGYjG,3dEOcY0xb0697r$hnB2pZ8
different name,vloer_V0,IfcSlab - vloer_V0
different GUID,08Su0zaR5EXQNO6ngU$Nih,1FtHmitHPB0fDl$feyshzw
different name,vloer_V0,IfcSlab - vloer_V0
different GUID,1ZgBbxSDX0C9d8RHMnr9Bd,2WE1U5IY99eB_4MZx_AaG6
different name,vloer_V0,IfcSlab - vloer_V0
different GUID,0Fi5splwH1mPAxYGMuuTQ1,3vE_5XQ410tO0R5Cf_79vf
different name,vloer_V0,IfcSlab - vloer_V0
different GUID,2PngXSH2j6u99nI0sIn2o5,2FkM6Y4sf9wubieqew21G_
different name,vloer_V0,IfcSlab - vloer_V0
different GUID,3_HjQT0vD1POpnG530wEp7,1CHkX2lAT0yOwHHdb2kO9n
different name,vloer_V0,IfcSlab - vloer_V0
different GUID,1nFD6aK1vEMPoRETGtTcaG,3aavmYYWn2Nw201TCwsyE7
different name,vloer_V0,IfcSlab - vloer_V0
different GUID,2jfgBlXC5DqAtt9Imu_ZDa,1f_r4ij_r22eibP4g4XrYJ
different name,vloer_V0,IfcSlab - vloer_V0
different GUID,16GzHPPq1BKv2r3QIxB1$6,3g5ot67IrAlA3Qv4Zyt9to
different name,vloer_V0,IfcSlab - vloer_V0
different GUID,1IlNDv2PvF_hqZ997BA_c0,2fjcEN2ZjDAu8hRUNqodqy
different name,vloer_V0,IfcSlab - vloer_V0
different GUID,2dWeqcZXj94QwNPbNEIcDK,1bdwqueGL8uBFxhWQb8AzH
different name,vloer_V0,IfcSlab - vloer_V0
different GUID,2ip6lMIlb0Awnp24k3KfFY,2YnbZBj29ApBRpeFNEnxZY
different name,vloer_V0,IfcSlab - vloer_V0
different GUID,3$gsVev9X1F8KTRxQi7mEd,2wzAep4e9Cd8hD79X4gbbr
different name,vloer_V0,IfcSlab - vloer_V0
different GUID,1EU0692GvC8Rre0xYHuYMJ,1QeL9W7pn3chBcMKIjsk1d
different name,vloer_V0,IfcSlab - vloer_V0
different GUID,2EK7acXG14vgx_QU1OeZ7J,3ZfOR0aGb9LhRtyOR14y1B
different name,vloer_V0,IfcSlab - vloer_V0
different GUID,1vpshNcXb0UeBNhC5kKbgC,3BmCoOtvfDrRGSWhi$pPsu
different name,vloer_V0,IfcSlab - vloer_V0
different GUID,1hiPVVgU11kOxHw3SC63rG,3p_S1K1UDCQeZ0ESa2yDZ$
different name,vloer_V0,IfcSlab - vloer_V0
different GUID,2LoDEf2jP0b9CMdtWhwNOO,3SfaGdpv54fhKgYMYGWVP0
different name,vloer_V0,IfcSlab - vloer_V0
different GUID,3UgqfaQcn7kwp58pqnjWYX,3wbvQmlHzDFRZwvik6WBqM
different name,vloer_V0,IfcSlab - vloer_V0
different GUID,3ctpV8GSz3JPQfqe2o$oED,2I0QMm7t1E$fDe6fe2kAEo
different name,vloer_V0,IfcSlab - vloer_V0
different GUID,0jxtYk_DPFmfsr5FLf4yfo,2SHZ8UTFv65PVl2EHG7Rs2
different name,vloerstort V0,IfcSlab - vloerstort V0
different GUID,07Mt9VfSXBPhNIIEhg25gT,3LH$GEDMT67hMVyTbubLwU
different name,dekvloer,IfcSlab - dekvloer
different GUID,30X9aYMbfA3vABGnSJSZLO,2FvcL116z4zAEnZiGn8PEX
different name,dekvloer,IfcSlab - dekvloer
different GUID,39SjBu3a1E$APuKEawG581,0u_sbI3CHF2x0coltZdUK6
different name,vloer_V0,IfcSlab - vloer_V0
different GUID,1z36FH34L0DAymH2KSHwC2,3Mkm2IGPjFsv1fmxGxAQMp
different name,dekvloer,IfcSlab - dekvloer
different GUID,0QGCC$bkn95gfJjhCRK1S$,1FeME9BWbCsuZLcp_RktVy
different name,dekvloer,IfcSlab - dekvloer
different GUID,0Lv4sEWdn9WfY3cCL$tL9r,2_zX7X7VHCJfmVCsaCi5LY
different name,dekvloer,IfcSlab - dekvloer
different GUID,37UC2ejVH0mQsQEsti1ePj,2$J_TlLurF_9iAWCVvxXSJ
different name,dekvloer,IfcSlab - dekvloer
different GUID,1FrPU10uj5vRBM$ME6kjwV,2t$PsuAOv779g6JM6jDwUL
different name,dekvloer,IfcSlab - dekvloer
different GUID,1m_qhh$In8cv9sJA57EIx9,3Fe3yk6Fb4Eh65W5QfLNu9
different name,dekvloer,IfcSlab - dekvloer
different GUID,2DcZS4kev35vv_ejuKPKPl,213rzA_954$A8$erVncvoW
different name,dekvloer,IfcSlab - dekvloer
different GUID,2ZCCQn6f5CnA2EvHQZH92C,0Zdc$O$SbFsf31aes402D2
different name,dekvloer,IfcSlab - dekvloer
different GUID,09n_zCJi9B28tPtQw6BxUr,1LNXbxQtzC_hr5gpQvK8C9
different name,dekvloer,IfcSlab - dekvloer
different GUID,2dHfVnv319IQI87h$OrLBS,155Zwzksf9KQWZT1zaz0Pi
different name,dekvloer,IfcSlab - dekvloer
different GUID,3kdu3VxUzF1R6ZJfnANstW,0M26akECT8KBw48WHb$9ZQ
different name,dekvloer,IfcSlab - dekvloer
different GUID,3PMBte07rF1u4WPaQp467x,3a6dLaHVv8auH4vjEia6zV
different name,dekvloer,IfcSlab - dekvloer
different GUID,0HSv6PpbD2BfTJigk5W2Ro,16WPdifob3SQ8RSl6oY$Sy
different name,dekvloer,IfcSlab - dekvloer
different GUID,1TnqA0GVv37hIAk1d8SLxS,0LSD3ioNf0_wWi8rN6hyiP
different name,dekvloer,IfcSlab - dekvloer
different GUID,0$5GRLLgn7I8ZPcI7rOsbG,16v24YynzF1xmgTQkMm$IF
different name,dekvloer,IfcSlab - dekvloer
different GUID,3pCtkV8rH5cfLSpwnY7plt,0ApkJkcO12xupMGrbYNNVJ
different name,dekvloer,IfcSlab - dekvloer
different GUID,2r9Rd7wfb74u0H82M9rkNJ,1Q0YPiyFf8NfL8jMzTZfZX
different name,dekvloer,IfcSlab - dekvloer
different GUID,37Ro54gDf1LB1mTnwX5Aup,0P$iWzGtP1FfKoHQu468NG
different name,dekvloer,IfcSlab - dekvloer
different GUID,3fBmwjfbHClhZFnLmF3vib,0T9UYfdXn46hvbvbX2sy7m
different name,dekvloer,IfcSlab - dekvloer
different GUID,1Ubc9b75DETwPSDHK48dhV,1ZWGOkGLz2$x78T7zWod_M
different name,dekvloer,IfcSlab - dekvloer
different GUID,2Bau621bX8OR8tXqSleIiB,2DvYhgsUH2xx3YqPDT_ouz
different name,dekvloer,IfcSlab - dekvloer
different GUID,031QW3IZP55A_T8QKJY9nI,3F17H6m1103RrzVlrsQrkz
different name,dekvloer,IfcSlab - dekvloer
different GUID,2b_eD15mT89x$yAkCYIShc,2RDVTCfHP9$A48MW5CDcIV
different name,dekvloer,IfcSlab - dekvloer
different GUID,3DoyKCgjn75uJSw08MNRdX,3xt9Ktsur8gvwDv_KGIipt
different name,dekvloer,IfcSlab - dekvloer
different GUID,3R08IZdRr50ufFCp6Ry$pe,3XMZHK8$H09vIhc6i0v$Ar
different name,vloertegels,IfcSlab - vloertegels
different GUID,2LsFs9dmf6Rhv8K9TFseHz,3K1TmiS09FRv8CYZOLs9OZ
different name,schoonloopmat,IfcSlab - schoonloopmat
Different number of IfcWall in storey 00 begane grond,226,327
different GUID,2vImyoNwX9iBXoTp4G3gAg,0VZ6wRFGjC7uShzfRZHgZC
different name,merk B1sp-R,IfcWindow - merk B1sp-R
different GUID,2pFYENFv91ygvyAeZOYi93,0hZ3XeV_jE0AQvDhkHYfA$
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,3fcHQBt3H23QcTv6yhJwzo,3xl_XER9f5KuPG3z3xPdId
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,0_Jo1N31L7z9swemKCMYlB,3LEevGQcX2Df4W8DrtCiSv
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,1rAoTfcZXDceLlFXNEmX1C,15FIsD8y19yxSSLRJ3huQo
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,0Nx0E1OHf1DuxTjjuUm2Ac,3aUnqqQGLDWefHJIOR2T6G
different name,merk B1sp,IfcWindow - merk B1sp
different GUID,2heiRUoHL5xvP8RwhYL$bG,1_vdNinav8pwS_O8l$K86Y
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,2GfFhoq6r37vCpbSN6CZTL,1xV9Wvp2r2SBCqljSWU$Ok
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,2nrdDYGJ9BhvAHtSOD2bVI,1Gz6oa0FP0eBEi4jg$djQ6
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,0MV6oKxM90DANOdrZ1T$9f,2h5d$Zj09Ebgti$p$2t9da
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,3mgONbLNL2DxrM$kkxuZbY,1cER9eUMf6ZfGN17Jf$EDE
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,3la5L9LMH0juxb_CD9s6XA,0FpjA8ZsX8WvUEg6543dLO
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,1RJVF591z4bOy_pjsU4XRe,01w37qvZTCoPd5jZFw8j_m
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,17GhR_gATFhuBAeAn9fPma,0L6T6xHof5mfzEOoDmHLmR
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,0WtDl5Fx1CGO$F0RJCi8b$,2KpXWdUtL438sXlVFIGqNN
different name,merk B1,IfcWindow - merk B1
different GUID,0fKwIjRKL2ThQh97F1hsVV,3cxyp5MhD13hY37BQMKb_v
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,3IkJ5kYzHBoxsDRsZeWtto,3rbdGEp3fCohIdJPPv1JA6
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,1DmcUaFzzFFhg92TJQnxyJ,3Si0fFZYv728iaGbZJBc6l
different name,merk B1,IfcWindow - merk B1
different GUID,0eASoFkCvD_OTC_ct3cBps,3McgS9bk5EgxOzPp2EoW7_
different name,merk B1sp-R,IfcWindow - merk B1sp-R
different GUID,359iTTnTv3NfCfWlSW9JFd,2TYvid3oH8igdIGS$hZBlo
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,2C60pqTzP8BR1K24Yag_n6,3DIwpUAh92Qwtm6NdGD6BH
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,2_US9yS$f6xgGifWmRr3ce,1AUq4sVeb5GxuQdLqX5XgO
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,3to0Qbzn57AgGEPgcKjSko,0UB8u4Sqv1Ih4ZAbjcH3KT
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,3IRXQx1CX8oxFXhqXHMp_E,2SrHncQuj4SgGiM0mODNoG
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,1Jl$pXjvz5zg9fEBTGRb9s,0czn6iiN98Pv0FJWI06knk
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,2tzwPzboDCgRcvSj$vm6HZ,23Lyb26C99queB2cuyis1S
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,02VFt8mFjD7RYPk4wtj6oc,3YtBQdk0zD2uK$3ykMtM1Z
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,3xZl0Z8zH6Few7zjaPUgW9,0lnbxc5JzDiBEfw4NM4u24
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,10rQERlhDCbxXJCT$_92RE,2PqLGvxi9EJRKmjYhJuD1I
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,1e$Zm7EmzAgRS0uBDNJlVg,2wHRxVIm5EwP_WzJN8A$OQ
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,3NI6Sp$yf87eKCx0T$FWj3,2tKYfEZZH8lRNm4R8jTi2r
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,1dvN3gzSD4L9Bv2$zoJRLk,2Sr_nnrbTBtPu2XN3CfE6i
different name,merk B1,IfcWindow - merk B1
different GUID,2xD3QGjx90oAGyybkEra8b,0eD4cRIcjE1vJ2qdPEPMxL
different name,merk B1,IfcWindow - merk B1
different GUID,2Ot4pojY5A_AuSDtpUwI4i,1q5LXp1_r3Nvgi1rMQ7k0g
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,19iI2eJ35DvhstxdCyQr3B,2ccvLF77b63QzSpgyWGhIm
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,0eUeiTKgL8z9I4w$AnfEgY,15IPMRZtjBUBVhdcmxaGcC
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,1GOpmZWFHFPu8qESPn3F3y,3ttlYuMUbAgwthLVufYCmb
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,2BeulVMFHFJum3B9E9M$fY,1iSI7Lgb584QwJ$4af5FLl
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,3oJTPYwxj7P9M9aWsDpJCD,1zzm_Oi3jEDerlvdFmptnh
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,03lGFt1VjBDe6syvgmNFAy,1zJFokLaXCTfOj7exUpjWj
different name,merk B1sp,IfcWindow - merk B1sp
different GUID,0Ud441PPT0DRsLxYPFfaWG,15KjsG8w1FKg215GsRw9RA
different name,merk N,IfcWindow - merk N
different GUID,10Z6sfVZn3GfZCDuDGVlAZ,3XO5zIks13Cvi7M$yLVj4N
different name,merk N,IfcWindow - merk N
different GUID,2dnwTIzFTAD9hapAlqsr5S,3Mrs7QEoD7hA3Nw8QFbUn7
different name,merk N,IfcWindow - merk N
different GUID,3dRgtW3QbEsQYyv9xoJ71y,1i0Ci7o$T3ZhXglEat8MOK
different name,merk N,IfcWindow - merk N
different GUID,2tncJiXU52xOIwnI4dHkq$,349ALBIgb1vBDvD6hMKiQf
different name,merk B1-R,IfcWindow - merk B1-R
different GUID,3hlYOSdNT3hRiePew15h4T,3orUwv0WLEW8u0k$OPMhwX
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,37gZNsSDL4iu1S6Wor3ZPj,3hl6lrBvXFXecqkYbhQUxf
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,1O6tmJybvFcAq4a7J9rLAN,3Qk3aPVATBSBSrgY60SemF
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,2AtqXLL8bAsei5_CKwpj0y,0wlk4nsor4VfqIqUTz44yE
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,0rOlpuy6fEpfuuqvscj$PW,1bRQYLpDjEMuGAA2Ct4oE5
different name,merk B1sp-R,IfcWindow - merk B1sp-R
different GUID,1rfLYazSH8GBcQryKstIs3,3zhDW6t5X5fua$iLM4xkao
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,3QJnmlRqz5_fVrar74KrOo,3g3nT1aNfFDwJ3ptCND26w
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,207c7$G7HAOg5y2_1xjv$F,2rxWyQZbP9rgqQySQbkbUb
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,2ThtpyjZn4q8nYD1vikjMG,3CU1$5wJT3X9vL0FxuKyQZ
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,2YXmX7u6r4yOOh$kIa$Gd6,0AbAzRmmXAzBdWLF_QssvI
different name,merk M,IfcWindow - merk M
different GUID,0YMesrJsv8ZAfgcOQkjCTb,37s$0BTlf7bP1tOyYb9xK2
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,2If2Aad390NwFBO7uQvqMr,1HGqQO1F58F8FA7nIiqoAa
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,0mtRbwfO1BTwxiSzggSc8I,0crPnrFarCvByvIhHgOweW
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,1DsH2dtvb1EQXXq4tfBtYg,3ktdx0JWf2v9MxCEB8podr
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,2aVhmg2N92hhv4rjQpPXmo,2hwhtNiUbFWBIpXLlc_hFy
different name,merk B1,IfcWindow - merk B1
different GUID,0k6mb7kcX8yedFIwED8qcY,3R_lW8$Ur4DhpqvJUs0ZGX
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,0xlRUG5ID5LhgTY4CombXh,0avYRurD534hcDGCG22iAV
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,0r4F5aYpjDjepmJs0NROFT,1dwC125FX18emBccdQ0ZJb
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,2bJ1Gv3yL6nf$qJdsuPO4A,0vjTkSg6T2G9hPOVH4nN_V
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,1WI7CxHKj8vQB6ZX1aG6wQ,16Ff91iAfEkuj5tyleD7Ps
different name,merk B1sp,IfcWindow - merk B1sp
different GUID,1ty_8KokP6mQYlN4DZkOfx,18Ab7$LgD5l8ofiQzgdWd3
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,0Cx5eRd2fAe9wmZ82jh8FB,38GoXwoIrAse0JchukfpzA
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,3ZVnVKy4D1jBZcLcCGVgY2,0zpSYKi0f06QbXoxnBLURB
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,3iKlrwnUHCxxRo4aLgJC8B,1vMbi8OE55Eu0J2wrHuDAg
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,1KInL01tD6DQPBVoxre2dQ,2F0OSHuXDEdxY4SxiK0SAC
different name,merk B1-R,IfcWindow - merk B1-R
different GUID,2KZzNKvwr9uRVfzB5TmmYh,208EpXTej5EuKgZCtlcCPg
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,0GSlUrIePDQRL93MVCRQ89,0jlII24Qn3XvlQ3xMpaqq7
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,2kU5XJFAf4Xe01xgsDZElh,0Dqb5a5aL05wLeAVPBfFd3
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,2ft6HbZKD5ePF2WR3Q2yMt,1QNoGCqVXElgXjPOLjrnqD
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,2ri5H4RCf2ZuCMpo1Ccl52,1DAII8ZkD15uOKR9PIfg3D
different name,merk B1sp-R,IfcWindow - merk B1sp-R
different GUID,0$CHzFOKD96AwIJnRtjmCz,2QwVpG7Bn4s9p$JN_h4TuX
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,1nwCQp6CL4h9AJo0EXhJBj,3gQQar6WL0fe3QzPpxlDNC
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,1rC9mTrqD7nRVVhL$0K1bF,1_KT9_kXPAwu0EBig3IxAQ
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,2OeOjUpaH1bxNaxIEYZAXQ,1lwcS25FLAWusqzpz9Rpmk
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,26iMI7lnj4Rukyjg89OAF3,0fE1aiXcT0wAgSMNh5Tk7u
different name,merk B1,IfcWindow - merk B1
different GUID,3cLBPtEz1A0uWp58VoUCJm,3kkvcYrcn2cPL9R49IthZk
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,0d06TNXPD9kQ6kfDgFvSX4,2IJBy1MkX8avsFeKt70yKG
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,0Fcj$qK_jDIx0Clu51aeRJ,1q6yl247P4QhCSlAFThBvL
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,1d9kUW3zP0ggxxYmG2vPQM,1a_EZoZ6T6GPOt_eVbqKMy
different name,stelkozijn,IfcWindow - stelkozijn
Mismatch in storey GUID,0u4wgLe6n0ABVaiXyikbkA,279NYjPe1158Yhi9cz1XDi
Mismatch in storey name,01 eerste verdieping,IfcBuildingStorey - 01 eerste verdieping
different GUID,0u4wgLe6n0ABVaiXyikbkA,279NYjPe1158Yhi9cz1XDi
different name,01 eerste verdieping,IfcBuildingStorey - 01 eerste verdieping
different GUID,2irhG5txr74Ovsj2V$0kJv,0fJmqM5M57fhpQa6E7I_mB
different name,hoeklijn bordes,IfcBeam - hoeklijn bordes
different GUID,2nUaeeTzv6p9Nb2KG4Pvuq,19TKhh8SD5c8Zh3WO9IwV9
different name,hoeklijn bordes,IfcBeam - hoeklijn bordes
different GUID,3E1lhUjbn6Q83O0eMzicqh,0pPdMz25r1GPUW71Od3mAu
different name,HEB220,IfcBeam - HEB220
different GUID,0n7b2OZJ50fvlqR00qRqTG,0g_iWGbC95eOR80t7wDwrw
different name,L150/100/10 (?),IfcBeam - L150/100/10 (?)
different GUID,0tgQ0Twpj4Jv0a8yyonSSQ,3Nk0DK7IzAuf$mLt0F2rjG
different name,L150/100/10 (?),IfcBeam - L150/100/10 (?)
different GUID,20_IKygyf04gphsqph2_Is,1lFPlVUsX8bvX6zNeLm5AK
different name,betonlatei,IfcBeam - betonlatei
different GUID,2ua9M0savE3ho4zejCeSAN,21lpzt0RT7afcFfsBDUywo
different name,staallatei ??,IfcBeam - staallatei ??
different GUID,2$514k42bBGgy$TBkbUv8z,0C20shOyj2iwnI85ht_LA1
different name,staallatei ??,IfcBeam - staallatei ??
different GUID,2BE1_Ywp51qwh9ZUJQKhk8,2uepwXdL98MhEEyHsCgU_T
different name,staallatei ??,IfcBeam - staallatei ??
different GUID,1b3CGmbon0_g7rIm5ETrHo,3kjESOWfz1ORaeQCQS04Ym
different name,staallatei ??,IfcBeam - staallatei ??
different GUID,0Fsfl1RG1BcRCzgbRibEVF,15fk8nGOf3auZNeV0HB1zE
different name,staallatei ??,IfcBeam - staallatei ??
different GUID,2Y889Xoon1RAy$xAEV_pJp,3SoIifg6j0YB7EX0M2bOgl
different name,staallatei ??,IfcBeam - staallatei ??
different GUID,3zImRnpR54PhBkXL1xIYVb,3hIOMBiO94XOlVmbHBSFT7
different name,staallatei ??,IfcBeam - staallatei ??
different GUID,1dcFLM2Of1FP3qxcp09zLO,33TdWz_5jFsQT54KIdVKS_
different name,staallatei ??,IfcBeam - staallatei ??
different GUID,2T99TpgwD5rBgB93z11HfJ,10eMw9KCrE2Aiw_X54pVX3
different name,staallatei ??,IfcBeam - staallatei ??
different GUID,00U31JGej7IPlTAjmADJHO,10$ascTE92SvqLBHBFWJt0
different name,staallatei ??,IfcBeam - staallatei ??
